Word, Frequency, Frequency(%)
anyone,79,0.03
longer,78,0.03
cannot,77,0.03
world,77,0.03
ten,77,0.03
eh,76,0.03
start,76,0.03
keep,76,0.03
sofa,75,0.03
blood,75,0.03
talk,75,0.03
semyonovna,75,0.03
help,74,0.03
towards,74,0.03
read,73,0.03
run,73,0.03
waiting,73,0.03
second,73,0.03
hour,73,0.03
sitting,72,0.03
terrible,72,0.03
become,72,0.03
brought,72,0.03
against,72,0.03
side,71,0.03
seems,71,0.03
landlady,70,0.03
dostoevsky,70,0.03
name,70,0.03
amalia,70,0.03
ran,70,0.03
next,70,0.03
business,70,0.03
minute,69,0.03
poor,69,0.03
silent,69,0.03
happened,69,0.03
sit,68,0.03
evening,68,0.03
remembered,68,0.03
lebezyatnikov,68,0.03
exclaimed,68,0.03
whom,68,0.03
turn,67,0.03
chair,67,0.03
morning,67,0.03
opened,67,0.03
father,67,0.03
letter,67,0.03
fear,67,0.03
window,66,0.03
angry,66,0.03
special,65,0.03
bit,65,0.03
upon,65,0.03
known,65,0.03
between,64,0.03
certainly,64,0.03
together,64,0.03
along,64,0.03
small,64,0.03
ever,64,0.03
clear,64,0.03
killed,64,0.03
wouldn,64,0.03
smile,64,0.03
axe,63,0.03
bed,63,0.03
sure,63,0.03
trembling,63,0.03
water,63,0.03
knows,63,0.03
former,63,0.03
decided,63,0.03
mama,62,0.03
tea,62,0.03
rather,62,0.03
either,62,0.03
purpose,62,0.03
russian,62,0.03
crime,62,0.03
full,61,0.03
nonsense,61,0.03
able,61,0.03
taking,61,0.03
lizaveta,61,0.03
hard,61,0.03
idea,61,0.03
laughing,61,0.03
floor,60,0.03
lost,60,0.03
answered,60,0.03
during,60,0.03
bad,60,0.03
dark,60,0.03
tried,59,0.03
taken,59,0.03
getting,59,0.03
hundred,59,0.03
please,59,0.03
itself,58,0.03
doesn,58,0.03
order,58,0.03
family,58,0.03
minutes,58,0.03
replied,58,0.03
twenty,57,0.02
struck,57,0.02
used,57,0.02
person,57,0.02
muttered,57,0.02
o,56,0.02
stupid,56,0.02
light,56,0.02
set,56,0.02
understood,56,0.02
stop,56,0.02
note,56,0.02
future,56,0.02
real,56,0.02
laughter,56,0.02
sometimes,55,0.02
caretaker,55,0.02
shouted,55,0.02
tomorrow,55,0.02
tears,54,0.02
death,54,0.02
few,54,0.02
friend,54,0.02
year,54,0.02
glad,54,0.02
until,54,0.02
several,53,0.02
managed,53,0.02
somewhat,53,0.02
police,53,0.02
called,53,0.02
work,53,0.02
rest,53,0.02
among,53,0.02
noble,53,0.02
daughter,52,0.02
therefore,52,0.02
pocket,52,0.02
step,52,0.02
thousand,52,0.02
earlier,52,0.02
different,52,0.02
suffering,51,0.02
clearly,51,0.02
imagine,51,0.02
romanych,51,0.02
rushed,51,0.02
past,51,0.02
running,50,0.02
begin,50,0.02
frightened,50,0.02
wait,50,0.02
allow,50,0.02
dead,50,0.02
extremely,50,0.02
lips,50,0.02
exactly,50,0.02
trying,49,0.02
wife,49,0.02
answer,49,0.02
spoke,49,0.02
soul,49,0.02
raised,49,0.02
crowd,49,0.02
fool,49,0.02
big,49,0.02
official,49,0.02
present,49,0.02
ought,49,0.02
front,49,0.02
conversation,48,0.02
wall,48,0.02
late,48,0.02
making,48,0.02
lay,47,0.02
bye,47,0.02
passed,47,0.02
regard,47,0.02
opinion,47,0.02
example,47,0.02
student,47,0.02
bring,47,0.02
wish,47,0.02
semyonovich,47,0.02
hair,47,0.02
ha,47,0.02
whispered,47,0.02
ones,46,0.02
clock,46,0.02
truth,46,0.02
kind,46,0.02
silence,46,0.02
andrei,46,0.02
beginning,46,0.02
notice,46,0.02
interrupted,46,0.02
doing,46,0.02
impossible,45,0.02
seeing,45,0.02
themselves,45,0.02
dare,45,0.02
drink,45,0.02
illness,45,0.02
delirium,45,0.02
lady,45,0.02
unable,45,0.02
women,45,0.02
wasn,44,0.02
child,44,0.02
whether,44,0.02
office,44,0.02
excuse,44,0.02
surprised,44,0.02
given,44,0.02
story,44,0.02
tavern,43,0.02
kill,43,0.02
romanovich,43,0.02
appeared,43,0.02
marmeladov,43,0.02
agree,43,0.02
contrary,43,0.02
feet,43,0.02
article,43,0.02
show,43,0.02
use,42,0.02
seven,42,0.02
233,42,0.02
thoughts,42,0.02
vile,42,0.02
silently,42,0.02
naturally,42,0.02
kopecks,42,0.02
nature,42,0.02
mikolka,42,0.02
air,42,0.02
husband,42,0.02
picked,42,0.02
spite,41,0.02
whatever,41,0.02
questions,41,0.02
surprise,41,0.02
feel,41,0.02
men,41,0.02
isn,41,0.02
pay,41,0.02
met,41,0.02
german,41,0.02
hat,41,0.02
repeated,40,0.02
main,40,0.02
sake,40,0.02
anyway,40,0.02
hm,40,0.02
hold,40,0.02
laugh,40,0.02
third,40,0.02
says,40,0.02
probably,40,0.02
hope,40,0.02
circumstances,40,0.02
attention,40,0.02
flashed,40,0.02
sent,40,0.02
turning,40,0.02
six,40,0.02
others,40,0.02
otherwise,40,0.02
couldn,40,0.02
doctor,39,0.02
nikolai,39,0.02
breath,39,0.02
ready,39,0.02
generally,39,0.02
stay,39,0.02
lie,39,0.02
often,39,0.02
state,38,0.02
listened,38,0.02
convinced,38,0.02
french,38,0.02
try,38,0.02
chest,38,0.02
worry,38,0.02
account,38,0.02
telling,38,0.02
afterwards,38,0.02
continued,38,0.02
clothes,38,0.02
four,37,0.02
cry,37,0.02
begun,37,0.02
meeting,37,0.02
necessary,37,0.02
walking,37,0.02
character,37,0.02
stand,37,0.02
serious,37,0.02
stone,37,0.02
month,37,0.02
novel,37,0.02
weak,37,0.02
gentleman,37,0.02
directly,37,0.02
despair,36,0.02
cold,36,0.02
received,36,0.02
near,36,0.02
sleep,36,0.02
curious,36,0.02
confess,36,0.02
und,36,0.02
ilya,36,0.02
pity,36,0.02
pulled,36,0.02
visit,35,0.02
dressed,35,0.02
murder,35,0.02
thirty,35,0.02
general,35,0.02
sense,35,0.02
died,35,0.02
outside,35,0.02
lot,35,0.02
explain,35,0.02
strangely,35,0.02
close,35,0.02
ahead,35,0.02
rooms,35,0.02
strong,35,0.02
seem,35,0.02
hem,35,0.02
reading,35,0.02
important,35,0.02
pah,34,0.01
barely,34,0.01
rouble,34,0.01
marriage,34,0.01
laughed,34,0.01
